,CISS,Correlation_Effect,Money_Market_Contribution,Bond_Market_Contribution,Equity_Market_Contribution,FX_Market_Contribution,Financial_Intermediaries_Contribution
2024-05-17,0.5020975736726205,0.9419831744530169,0.1011433647335846,0.11884834444033393,0.1087731349939517,0.05448438506441646,0.11884834444033393
2024-05-20,0.4617941439600316,0.9415789977419231,0.09924223081080501,0.11390857033949539,0.06981177615656628,0.09875335282651532,0.08007821382664954
2024-05-21,0.477857664208268,0.9420203288281719,0.09997349699505627,0.11376631800905132,0.0932238186265055,0.08119178327387153,0.08970224730378336
2024-05-22,0.5018128533708311,0.9432867027056615,0.09423071734193629,0.11411516185380019,0.0640612153239359,0.10265466920410524,0.12675108964705362
2024-05-23,0.4434508393097156,0.9422841091245722,0.09540259671821995,0.11780997584485829,0.05459963996796588,0.06272109179115792,0.11291753498751367
2024-05-24,0.4364601620413552,0.9411355486919503,0.08932480700980713,0.10672066658064483,0.07515402252794495,0.07808590897246816,0.08717475695049011
2024-05-27,0.42482756718287723,0.9398321782612237,0.08793237721841772,0.10862234832863366,0.026350434904520294,0.09388562362277234,0.10803678310853321
2024-05-28,0.3916321937264776,0.9372311196784242,0.08953817550406545,0.11474511839053607,0.04613162520535547,0.05323628478339544,0.08798098984312519
2024-05-29,0.3822123646491737,0.9349009579810879,0.08815057838492502,0.1139744262377775,0.07154953333666271,0.04766732817951341,0.06087049851029514
2024-05-30,0.4247297768161317,0.9321211829396874,0.08595260752341044,0.10850548765061159,0.07898347718367447,0.08972755312410076,0.061560651334334505
2024-05-31,0.4247961815392511,0.9307820769563111,0.08921203084430689,0.10805964299451257,0.05344989496955765,0.10535331919858561,0.06872129353228841
2024-06-03,0.4509056265213557,0.9298118165740161,0.09085700097571645,0.11663683015798668,0.04122841595816251,0.09665022101667603,0.10553315841281409
2024-06-04,0.4786223691996608,0.9294481579739328,0.09265526808462883,0.13251633654187017,0.07711620749960253,0.06254230595712446,0.11379225111643478
2024-06-05,0.4286196568852001,0.928804522008208,0.09471298448723368,0.13473934758519904,0.03549325691578615,0.05719429714962278,0.10647977074735844
2024-06-06,0.44481316584812053,0.9267742940539594,0.09450595604994687,0.1329050155855159,0.0526423197141761,0.07554702189328746,0.08921285260519424
2024-06-07,0.386756561776074,0.9260232943569346,0.10183371430155701,0.12356593283994406,0.032117526512483514,0.06038864266419055,0.06885074545789878
2024-06-10,0.40599834737043106,0.9249501029517979,0.09412784017578009,0.12342272921007899,0.06934724551725839,0.04975328695005518,0.06934724551725838
2024-06-11,0.4608895482677043,0.9246596562120816,0.09448235739487938,0.12732073770895333,0.04868145853577627,0.10466033491912452,0.08574465970897081
2024-06-12,0.40821538437891286,0.924750447322731,0.09593205575030204,0.12349211581069912,0.04254044113852232,0.07134886628876315,0.0749019053906262
2024-06-13,0.4452857655305383,0.9249572739557986,0.09806660194276955,0.12784196590188665,0.04226180690971458,0.08010533400614084,0.09701005677002666
2024-06-14,0.4323697436938262,0.9246548149614802,0.09880267960491831,0.14412324789794206,0.051081657482814895,0.05799496451056429,0.0803671941975866
2024-06-17,0.47016634216097986,0.9232671033870791,0.10335222611124315,0.14409869744452547,0.06442736173168402,0.08273930531911208,0.0755487515544152
2024-06-18,0.4372601329862973,0.9220089951079576,0.10407308179463656,0.14351936486675274,0.03858459242248255,0.06960545580929235,0.08147763809313313
2024-06-19,0.4200914810358572,0.9208925477749383,0.10758090511389469,0.1476488155518697,0.03767722365766623,0.06014967939256866,0.06703485731985792
2024-06-20,0.3934097167506846,0.9195474690070611,0.10503657486061968,0.13683401070478907,0.050704019319080945,0.058438530740635666,0.04239658112555921
2024-06-21,0.4459552739351473,0.9186201685551802,0.10664769973465128,0.13688680601003989,0.07535928693235644,0.06982657979048723,0.05723490146761248
2024-06-24,0.4424177096674035,0.91840537704184,0.10566907141872886,0.13990661351198125,0.06761676140422271,0.07696294281129439,0.05226232052117636
